Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
224,11,6933.983,1074.734,69866.22,30154.69
225,11,6933.983,1074.734,69866.22,30154.69
226,11,6933.983,1074.734,69866.22,30154.69
227,11,6933.983,1074.734,69866.22,30154.69
228,11,6933.983,1074.734,69866.22,30154.69
229,11,6933.983,1074.734,69866.22,30154.69
230,11,6933.983,1074.734,69866.22,30154.69
231,11,6933.983,1074.734,69866.22,30154.69
232,11,6933.983,1074.734,69866.22,30154.69
233,11,6933.983,1074.734,69866.22,30154.69
234,11,6933.983,1074.734,69866.22,30154.69
235,11,6933.983,1074.734,69866.22,30154.69
236,11,6933.983,1074.734,69866.22,30154.69
237,11,6933.983,1074.734,69866.22,30154.69
238,11,6933.983,1074.734,69866.22,30154.69
239,11,6933.983,1074.734,69866.22,30154.69
240,11,6933.983,1074.734,69866.22,30154.69
241,11,6933.983,1074.734,69866.22,30154.69
242,11,6933.983,1074.734,69866.22,30154.69
243,11,6933.983,1074.734,69866.22,30154.69
244,11,6933.983,1074.734,69866.22,30154.69
245,11,6933.983,1074.734,69866.22,30154.69
246,11,6933.983,1074.734,69866.22,30154.69
247,11,6933.983,1074.734,69866.22,30154.69
248,11,6933.983,1074.734,69866.22,30154.69
249,11,6933.983,1074.734,69866.22,30154.69
250,11,6933.983,1074.734,69866.22,30154.69
251,11,6933.983,1074.734,69866.22,30154.69
252,11,6933.983,1074.734,69866.22,30154.69
253,11,6933.983,1074.734,69866.22,30154.69
254,11,6933.983,1074.734,69866.22,30154.69
255,11,6933.983,1074.734,69866.22,30154.69
256,11,6933.983,1074.734,69866.22,30154.69
257,11,6933.983,1074.734,69866.22,30154.69
258,11,6933.983,1074.734,69866.22,30154.69
259,11,6933.983,1074.734,69866.22,30154.69
260,11,6933.983,1074.734,69866.22,30154.69
261,11,6933.983,1074.734,69866.22,30154.69
262,11,6933.983,1074.734,69866.22,30154.69
263,12,6975.636,1052.766,69955.07,30095.45
264,12,6975.636,1052.766,69955.07,30095.45
265,12,6975.636,1052.766,69955.07,30095.45
266,12,6975.636,1052.766,69955.07,30095.45
267,12,6975.636,1052.766,69955.07,30095.45
268,12,6975.636,1052.766,69955.07,30095.45
269,12,6975.636,1052.766,69955.07,30095.45
270,12,6975.636,1052.766,69955.07,30095.45
271,12,6975.636,1052.766,69955.07,30095.45
272,12,6975.636,1052.766,69955.07,30095.45
273,12,6975.636,1052.766,69955.07,30095.45
274,12,6975.636,1052.766,69955.07,30095.45
275,12,6975.636,1052.766,69955.07,30095.45
276,12,6975.636,1052.766,69955.07,30095.45
277,12,6975.636,1052.766,69955.07,30095.45
278,12,6975.636,1052.766,69955.07,30095.45
279,12,6975.636,1052.766,69955.07,30095.45
280,12,6975.636,1052.766,69955.07,30095.45
281,12,6975.636,1052.766,69955.07,30095.45
282,12,6975.636,1052.766,69955.07,30095.45
283,12,6975.636,1052.766,69955.07,30095.45
284,13,6953.866,1118.982,69879.06,30097.93
285,12,6950.021,1128.897,69868.98,30106.09
286,12,6950.021,1128.897,69868.98,30106.09
287,12,6950.021,1128.897,69868.98,30106.09
288,12,6950.021,1128.897,69868.98,30106.09
289,12,6950.021,1128.897,69868.98,30106.09
290,12,6950.021,1128.897,69868.98,30106.09
291,12,6950.021,1128.897,69868.98,30106.09
292,12,6950.021,1128.897,69868.98,30106.09
