Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
186,10,7114.9,986.726,70103.36,29966.24
187,10,7114.9,986.726,70103.36,29966.24
188,10,7114.9,986.726,70103.36,29966.24
189,10,7114.9,986.726,70103.36,29966.24
190,10,7114.9,986.726,70103.36,29966.24
191,10,7114.9,986.726,70103.36,29966.24
192,10,7114.9,986.726,70103.36,29966.24
193,10,7114.9,986.726,70103.36,29966.24
194,10,7114.9,986.726,70103.36,29966.24
195,10,7114.9,986.726,70103.36,29966.24
196,10,7114.9,986.726,70103.36,29966.24
197,10,7114.9,986.726,70103.36,29966.24
198,10,7114.9,986.726,70103.36,29966.24
199,10,7114.9,986.726,70103.36,29966.24
200,10,7114.9,986.726,70103.36,29966.24
201,10,7114.9,986.726,70103.36,29966.24
202,10,7114.9,986.726,70103.36,29966.24
203,10,7114.9,986.726,70103.36,29966.24
204,10,7114.9,986.726,70103.36,29966.24
205,10,7114.9,986.726,70103.36,29966.24
206,10,7114.9,986.726,70103.36,29966.24
207,10,7114.9,986.726,70103.36,29966.24
208,10,7114.9,986.726,70103.36,29966.24
209,10,7114.9,986.726,70103.36,29966.24
210,10,7114.9,986.726,70103.36,29966.24
211,10,7114.9,986.726,70103.36,29966.24
212,10,7114.9,986.726,70103.36,29966.24
213,10,7114.9,986.726,70103.36,29966.24
214,10,7114.9,986.726,70103.36,29966.24
215,10,7114.9,986.726,70103.36,29966.24
216,10,7114.9,986.726,70103.36,29966.24
217,10,7114.9,986.726,70103.36,29966.24
218,10,7114.9,986.726,70103.36,29966.24
219,10,7114.9,986.726,70103.36,29966.24
220,10,7114.9,986.726,70103.36,29966.24
221,10,7114.9,986.726,70103.36,29966.24
222,10,7114.9,986.726,70103.36,29966.24
223,10,7114.9,986.726,70103.36,29966.24
224,10,7114.9,986.726,70103.36,29966.24
225,9,7127.667,985.2511,70114.84,29962.48
226,9,7127.667,985.2511,70114.84,29962.48
227,9,7127.667,985.2511,70114.84,29962.48
228,8,7000,1000,70000,30000
229,8,7000,1000,70000,30000
230,8,7000,1000,70000,30000
231,8,7000,1000,70000,30000
232,8,7000,1000,70000,30000
233,8,7000,1000,70000,30000
234,8,7000,1000,70000,30000
235,8,7000,1000,70000,30000
236,8,7000,1000,70000,30000
237,8,7000,1000,70000,30000
238,8,7000,1000,70000,30000
239,8,7000,1000,70000,30000
240,8,7000,1000,70000,30000
241,8,7000,1000,70000,30000
242,8,7000,1000,70000,30000
243,8,7000,1000,70000,30000
244,8,7000,1000,70000,30000
245,8,7000,1000,70000,30000
246,8,7000,1000,70000,30000
247,8,7000,1000,70000,30000
248,8,7000,1000,70000,30000
249,8,7000,1000,70000,30000
250,8,7000,1000,70000,30000
251,8,7000,1000,70000,30000
252,8,7000,1000,70000,30000
253,8,7000,1000,70000,30000
254,9,6914.821,968.8071,69905.91,30067.85
255,9,6914.821,968.8071,69905.91,30067.85
256,9,6914.821,968.8071,69905.91,30067.85
257,9,6914.821,968.8071,69905.91,30067.85
258,9,6914.821,968.8071,69905.91,30067.85
259,9,6914.821,968.8071,69905.91,30067.85
260,9,6914.821,968.8071,69905.91,30067.85
261,9,6914.821,968.8071,69905.91,30067.85
262,9,6914.821,968.8071,69905.91,30067.85
263,9,6914.821,968.8071,69905.91,30067.85
264,9,6914.821,968.8071,69905.91,30067.85
265,9,6914.821,968.8071,69905.91,30067.85
266,9,6914.821,968.8071,69905.91,30067.85
267,9,6914.821,968.8071,69905.91,30067.85
268,9,6914.821,968.8071,69905.91,30067.85
269,9,6914.821,968.8071,69905.91,30067.85
270,9,6914.821,968.8071,69905.91,30067.85
271,9,6914.821,968.8071,69905.91,30067.85
272,9,6914.821,968.8071,69905.91,30067.85
273,9,6914.821,968.8071,69905.91,30067.85
274,9,6914.821,968.8071,69905.91,30067.85
275,9,6914.821,968.8071,69905.91,30067.85
276,9,6914.821,968.8071,69905.91,30067.85
277,9,6914.821,968.8071,69905.91,30067.85
278,9,6914.821,968.8071,69905.91,30067.85
279,9,6914.821,968.8071,69905.91,30067.85
280,9,6914.821,968.8071,69905.91,30067.85
281,9,6914.821,968.8071,69905.91,30067.85
282,9,6914.821,968.8071,69905.91,30067.85
283,9,6914.821,968.8071,69905.91,30067.85
284,9,6914.821,968.8071,69905.91,30067.85
285,9,6914.821,968.8071,69905.91,30067.85
286,9,6914.821,968.8071,69905.91,30067.85
287,9,6914.821,968.8071,69905.91,30067.85
288,8,6904.173,964.9081,69894.15,30076.33
289,8,6904.173,964.9081,69894.15,30076.33
290,8,6904.173,964.9081,69894.15,30076.33
291,8,6904.173,964.9081,69894.15,30076.33
292,8,6904.173,964.9081,69894.15,30076.33
293,8,6904.173,964.9081,69894.15,30076.33
294,8,6904.173,964.9081,69894.15,30076.33
295,8,6904.173,964.9081,69894.15,30076.33
296,8,6904.173,964.9081,69894.15,30076.33
297,8,6904.173,964.9081,69894.15,30076.33
298,8,6904.173,964.9081,69894.15,30076.33
