Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
287,14,6935.714,977.0856,69438,30198.83
288,14,6935.714,977.0856,69438,30198.83
289,14,6935.714,977.0856,69438,30198.83
290,14,6935.714,977.0856,69438,30198.83
291,13,6951.171,967.5902,69365.24,30116.46
292,13,6951.171,967.5902,69365.24,30116.46
293,13,6951.171,967.5902,69365.24,30116.46
294,13,6951.171,967.5902,69365.24,30116.46
295,13,6951.171,967.5902,69365.24,30116.46
296,13,6951.171,967.5902,69365.24,30116.46
297,13,6951.171,967.5902,69365.24,30116.46
298,13,6951.171,967.5902,69365.24,30116.46
299,14,6889.863,958.5296,69247.41,30116.43
300,14,6889.863,958.5296,69247.41,30116.43
301,14,6889.863,958.5296,69247.41,30116.43
302,14,6889.863,958.5296,69247.41,30116.43
303,15,6948.739,982.3463,69359.34,30120.46
304,14,6945.078,981.0853,69313.58,30129.06
305,14,6945.078,981.0853,69313.58,30129.06
306,14,6945.078,981.0853,69313.58,30129.06
307,14,6945.078,981.0853,69313.58,30129.06
308,14,6945.078,981.0853,69313.58,30129.06
309,14,6945.078,981.0853,69313.58,30129.06
310,14,6945.078,981.0853,69313.58,30129.06
311,14,6945.078,981.0853,69313.58,30129.06
312,13,6978.727,984.9959,69352.37,30076.84
313,13,6978.727,984.9959,69352.37,30076.84
314,13,6978.727,984.9959,69352.37,30076.84
315,13,6978.727,984.9959,69352.37,30076.84
316,12,7018.372,1034.337,69288.3,29954.91
317,12,7018.372,1034.337,69288.3,29954.91
318,12,7018.372,1034.337,69288.3,29954.91
319,12,7018.372,1034.337,69288.3,29954.91
320,12,7018.372,1034.337,69288.3,29954.91
321,12,7018.372,1034.337,69288.3,29954.91
322,12,7018.372,1034.337,69288.3,29954.91
323,12,7018.372,1034.337,69288.3,29954.91
324,12,7018.372,1034.337,69288.3,29954.91
325,12,7018.372,1034.337,69288.3,29954.91
326,12,7018.372,1034.337,69288.3,29954.91
327,12,7018.372,1034.337,69288.3,29954.91
328,12,7018.372,1034.337,69288.3,29954.91
329,12,7018.372,1034.337,69288.3,29954.91
330,12,7018.372,1034.337,69288.3,29954.91
331,12,7018.372,1034.337,69288.3,29954.91
332,12,7018.372,1034.337,69288.3,29954.91
333,12,7018.372,1034.337,69288.3,29954.91
334,12,7018.372,1034.337,69288.3,29954.91
335,12,7018.372,1034.337,69288.3,29954.91
336,12,7018.372,1034.337,69288.3,29954.91
337,12,7018.372,1034.337,69288.3,29954.91
338,12,7018.372,1034.337,69288.3,29954.91
339,12,7018.372,1034.337,69288.3,29954.91
340,12,7018.372,1034.337,69288.3,29954.91
341,12,7018.372,1034.337,69288.3,29954.91
342,12,7018.372,1034.337,69288.3,29954.91
343,12,7018.372,1034.337,69288.3,29954.91
344,12,7018.372,1034.337,69288.3,29954.91
345,12,7018.372,1034.337,69288.3,29954.91
346,12,7018.372,1034.337,69288.3,29954.91
347,12,7018.372,1034.337,69288.3,29954.91
348,12,7018.372,1034.337,69288.3,29954.91
349,12,7018.372,1034.337,69288.3,29954.91
350,12,7018.372,1034.337,69288.3,29954.91
351,12,7018.372,1034.337,69288.3,29954.91
352,12,7018.372,1034.337,69288.3,29954.91
353,12,7018.372,1034.337,69288.3,29954.91
354,12,7018.372,1034.337,69288.3,29954.91
355,12,7018.372,1034.337,69288.3,29954.91
356,12,7018.372,1034.337,69288.3,29954.91
357,12,7018.372,1034.337,69288.3,29954.91
358,12,7018.372,1034.337,69288.3,29954.91
359,12,7018.372,1034.337,69288.3,29954.91
360,12,7018.372,1034.337,69288.3,29954.91
361,12,7018.372,1034.337,69288.3,29954.91
362,12,7018.372,1034.337,69288.3,29954.91
363,12,7018.372,1034.337,69288.3,29954.91
364,12,7018.372,1034.337,69288.3,29954.91
365,12,7018.372,1034.337,69288.3,29954.91
366,12,7018.372,1034.337,69288.3,29954.91
367,12,7018.372,1034.337,69288.3,29954.91
368,12,7018.372,1034.337,69288.3,29954.91
369,12,7018.372,1034.337,69288.3,29954.91
370,12,7018.372,1034.337,69288.3,29954.91
371,12,7018.372,1034.337,69288.3,29954.91
372,12,7018.372,1034.337,69288.3,29954.91
373,12,7018.372,1034.337,69288.3,29954.91
374,12,7018.372,1034.337,69288.3,29954.91
375,12,7018.372,1034.337,69288.3,29954.91
376,12,7018.372,1034.337,69288.3,29954.91
377,12,7018.372,1034.337,69288.3,29954.91
378,13,7071.79,1036.718,69379.95,30083.71
379,12,7013.356,1013.462,69251.1,30075.95
380,12,7013.356,1013.462,69251.1,30075.95
381,12,7013.356,1013.462,69251.1,30075.95
382,12,7013.356,1013.462,69251.1,30075.95
383,12,7013.356,1013.462,69251.1,30075.95
384,12,7013.356,1013.462,69251.1,30075.95
385,12,7013.356,1013.462,69251.1,30075.95
386,12,7013.356,1013.462,69251.1,30075.95
387,12,7013.356,1013.462,69251.1,30075.95
388,12,7013.356,1013.462,69251.1,30075.95
389,12,7013.356,1013.462,69251.1,30075.95
390,12,7013.356,1013.462,69251.1,30075.95
391,12,7013.356,1013.462,69251.1,30075.95
392,12,7013.356,1013.462,69251.1,30075.95
393,13,7007.036,1006.057,69363.84,30185.97
394,13,7007.036,1006.057,69363.84,30185.97
395,13,7007.036,1006.057,69363.84,30185.97
396,13,7007.036,1006.057,69363.84,30185.97
397,13,7007.036,1006.057,69363.84,30185.97
398,13,7007.036,1006.057,69363.84,30185.97
399,13,7007.036,1006.057,69363.84,30185.97
400,13,7007.036,1006.057,69363.84,30185.97
401,13,7007.036,1006.057,69363.84,30185.97
402,13,7007.036,1006.057,69363.84,30185.97
403,13,7007.036,1006.057,69363.84,30185.97
404,13,7007.036,1006.057,69363.84,30185.97
405,13,7007.036,1006.057,69363.84,30185.97
406,13,7007.036,1006.057,69363.84,30185.97
407,13,7007.036,1006.057,69363.84,30185.97
408,13,7007.036,1006.057,69363.84,30185.97
409,13,7007.036,1006.057,69363.84,30185.97
410,13,7007.036,1006.057,69363.84,30185.97
411,13,7007.036,1006.057,69363.84,30185.97
412,14,7020.413,1013.814,69313.39,30261.43
413,14,7020.413,1013.814,69313.39,30261.43
414,14,7020.413,1013.814,69313.39,30261.43
415,14,7020.413,1013.814,69313.39,30261.43
416,13,7091.763,1027.127,69436.3,30272.61
417,13,7091.763,1027.127,69436.3,30272.61
418,13,7091.763,1027.127,69436.3,30272.61
419,13,7091.763,1027.127,69436.3,30272.61
420,13,7091.763,1027.127,69436.3,30272.61
421,13,7091.763,1027.127,69436.3,30272.61
422,14,7084.319,1022.546,69426.85,30349.41
423,14,7084.319,1022.546,69426.85,30349.41
424,14,7084.319,1022.546,69426.85,30349.41
425,14,7084.319,1022.546,69426.85,30349.41
426,14,7084.319,1022.546,69426.85,30349.41
427,14,7084.319,1022.546,69426.85,30349.41
428,14,7084.319,1022.546,69426.85,30349.41
429,14,7084.319,1022.546,69426.85,30349.41
430,14,7084.319,1022.546,69426.85,30349.41
431,14,7084.319,1022.546,69426.85,30349.41
432,14,7084.319,1022.546,69426.85,30349.41
433,14,7084.319,1022.546,69426.85,30349.41
434,13,6992.889,1034.554,69359.48,30390.98
435,13,6992.889,1034.554,69359.48,30390.98
436,13,6992.889,1034.554,69359.48,30390.98
437,13,6992.889,1034.554,69359.48,30390.98
438,13,6992.889,1034.554,69359.48,30390.98
439,12,7004.222,1019.836,69373.77,30483.47
440,12,7004.222,1019.836,69373.77,30483.47
441,12,7004.222,1019.836,69373.77,30483.47
442,12,7004.222,1019.836,69373.77,30483.47
443,12,7004.222,1019.836,69373.77,30483.47
444,12,7004.222,1019.836,69373.77,30483.47
445,12,7004.222,1019.836,69373.77,30483.47
446,12,7004.222,1019.836,69373.77,30483.47
447,12,7004.222,1019.836,69373.77,30483.47
448,12,7004.222,1019.836,69373.77,30483.47
449,12,7004.222,1019.836,69373.77,30483.47
450,12,7004.222,1019.836,69373.77,30483.47
451,13,7074.659,991.8562,69464.69,30478.52
452,13,7074.659,991.8562,69464.69,30478.52
453,13,7074.659,991.8562,69464.69,30478.52
454,13,7074.659,991.8562,69464.69,30478.52
455,13,7074.659,991.8562,69464.69,30478.52
456,13,7074.659,991.8562,69464.69,30478.52
457,14,7010.889,1007.692,69372.72,30371.11
458,14,7010.889,1007.692,69372.72,30371.11
459,14,7010.889,1007.692,69372.72,30371.11
460,14,7010.889,1007.692,69372.72,30371.11
461,14,7010.889,1007.692,69372.72,30371.11
462,14,7010.889,1007.692,69372.72,30371.11
463,14,7010.889,1007.692,69372.72,30371.11
464,14,7010.889,1007.692,69372.72,30371.11
465,14,7010.889,1007.692,69372.72,30371.11
466,14,7010.889,1007.692,69372.72,30371.11
467,14,7010.889,1007.692,69372.72,30371.11
468,14,7010.889,1007.692,69372.72,30371.11
469,14,7010.889,1007.692,69372.72,30371.11
470,14,7010.889,1007.692,69372.72,30371.11
471,14,7010.889,1007.692,69372.72,30371.11
472,14,7010.889,1007.692,69372.72,30371.11
473,14,7010.889,1007.692,69372.72,30371.11
474,14,7010.889,1007.692,69372.72,30371.11
475,14,7010.889,1007.692,69372.72,30371.11
476,14,7010.889,1007.692,69372.72,30371.11
477,13,6996.779,999.4632,69427.72,30304.09
478,13,6996.779,999.4632,69427.72,30304.09
479,13,6996.779,999.4632,69427.72,30304.09
480,13,6996.779,999.4632,69427.72,30304.09
481,13,6996.779,999.4632,69427.72,30304.09
482,13,6996.779,999.4632,69427.72,30304.09
483,12,6996.511,999.4185,69380.03,30329.43
